Metric,YTD in 2025,Jan-2025,Feb-2025,Mar-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025
ASSUMPTIONS,,,,,,,,,,,
Trading Days,81,4,6,8,11,9,5,12,11,12,3
Market Open Days,207,20,19,21,21,20,22,21,21,23,19
Average Exchange Rate (JPY/USD),148.3,156.5,151.6,149.1,144.9,144.5,—,147.5,147.9,151.4,—
LAGGING INDICATORS,,,,,,,,,,,
Expectancy (E),0.41%,0.00%,0.30%,-4.85%,0.12%,0.37%,0.86%,1.01%,0.44%,0.43%,—
Win Rate (WR),74.95%,60.00%,70.59%,50.00%,73.33%,89.86%,60.00%,60.53%,89.52%,68.85%,100.00%
Loss Rate (LR),25.05%,40.00%,29.41%,50.00%,26.67%,10.14%,40.00%,39.47%,10.48%,31.15%,0.00%
Mean Profit Rate (G),0.93%,0.01%,1.07%,0.89%,0.60%,0.43%,1.77%,2.29%,0.57%,0.85%,1.32%
Mean Loss Rate (L),1.14%,0.02%,1.53%,10.59%,1.22%,0.19%,0.51%,0.94%,0.64%,0.50%,—
Mean Gain per Trade (JPY),"31,350",565,"24,969","12,592","14,284","12,809","110,231","90,311","18,437","35,586","131,265"
Mean Loss per Trade (JPY),"38,682",805,"35,774","149,499","28,936","5,466","31,950","37,037","20,669","20,676",—
Mean Capital Invested per trade (JPY) / Mean Position Size,"3,381,102","4,048,105","2,335,129","1,412,188","2,369,463","2,950,314","6,211,452","3,948,298","3,250,511","4,165,727","9,948,838"
Risk/Reward Ratio (RRR),0.81,0.70,0.70,0.08,0.49,2.34,3.45,2.44,0.89,1.72,—
ROI,0.75%,0.07%,-0.14%,-5.48%,0.84%,0.75%,0.86%,1.08%,0.78%,1.00%,1.32%
INTERIM INDICATORS,,,,,,,,,,,
Total Trades,547,5,17,28,90,69,10,76,124,122,6
Total Win Trades,410,3,12,14,66,62,6,46,111,84,6
Total Loss Trades,137,2,5,14,24,7,4,30,13,38,0
SUMMARY,,,,,,,,,,,
Total Net P/L (JPY),"13,899,209","13,514","-56,346","-2,165,743","1,800,147","1,525,344","533,590","3,252,990","3,148,583","5,059,543","787,589"
Total Gain (JPY),"12,853,472","1,696","299,631","176,289","942,735","794,144","661,388","4,154,301","2,046,480","2,989,219","787,589"
Total Loss (JPY),"5,299,479","1,610","178,871","2,092,983","694,463","38,263","127,798","1,111,113","268,702","785,676",0
Total Investment (JPY),"1,849,462,927","20,240,526","39,697,201","39,541,275","213,251,760","203,571,733","62,114,528","300,070,684","403,063,442","508,218,751","59,693,028"
TAX CALCULATION,,,,,,,,,,,
Income Tax (所得税),"2,084,881","2,027",0,0,"270,022","228,802","80,038","487,948","472,287","758,931","118,138"
Resident Tax (住民税),"694,960",676,0,0,"90,007","76,267","26,680","162,649","157,429","252,977","39,379"
Special Reconstruction Tax (復興特別所得税),"43,783",43,0,0,"5,670","4,805","1,681","10,247","9,918","15,938","2,481"
Total Tax (税額),"2,823,624","2,745",0,0,"365,700","309,874","108,399","660,845","639,635","1,027,846","159,999"
Profit After Tax (PAT),"11,075,585","10,768","-56,346","-2,165,743","1,434,447","1,215,470","425,191","2,592,145","2,508,948","4,031,697","627,590"
ROI After Tax,0.60%,0.05%,-0.14%,-5.48%,0.67%,0.60%,0.68%,0.86%,0.62%,0.79%,1.05%
