calendar,uid,start_jst,end_jst,date,time,summary,description,location,importance,region,fetched_at
monex_economic,CSVConvert37464bb15b1c73adde754a3afcebccd1,2015-03-02 19:00:00+09:00,2015-03-02 19:00:00+09:00,2015-03-02,19:00,【EU】 消費者物価指数（ＨＩＣＰ、速報値）　前年同月比 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,high,EU,2025-12-22 01:23:11.310261+09:00
monex_economic,CSVConvert319ed761477c876096754359976d48f3,2015-03-02 22:30:00+09:00,2015-03-02 22:30:00+09:00,2015-03-02,22:30,【米】 個人消費支出（ＰＣＥコア･デフレーター、食品・エネルギー除く）　前月比 1月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,US,2025-12-22 01:23:11.317855+09:00
monex_economic,CSVConvert73021dfb5833fc59860c00562671891c,2015-03-03 00:00:00+09:00,2015-03-03 00:00:00+09:00,2015-03-03,00:00,【米】 ＩＳＭ製造業景況指数　 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,medium,US,2025-12-22 01:23:11.311603+09:00
monex_economic,CSVConvert51ebd2539d05a7785090ca227af620dd,2015-03-04 10:15:00+09:00,2015-03-04 10:15:00+09:00,2015-03-04,10:15,【米】 イエレン米連邦準備理事会（ＦＲＢ）議長、発言　 * ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,US,2025-12-22 01:23:11.304703+09:00
monex_economic,CSVConvertf004f7fe207f736c714f244d4ab1558a,2015-03-04 22:15:00+09:00,2015-03-04 22:15:00+09:00,2015-03-04,22:15,【米】 ＡＤＰ雇用統計　前月比 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,high,US,2025-12-22 01:23:11.307479+09:00
monex_economic,CSVConverte1d2129844c06f9db9594fcb1770903d,2015-03-05 00:00:00+09:00,2015-03-05 00:00:00+09:00,2015-03-05,00:00,【米】 ＩＳＭ非製造業景況指数（総合）　 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,medium,US,2025-12-22 01:23:11.312826+09:00
monex_economic,CSVConverta825c88310ac9449058dd3467bbed330,2015-03-05 21:45:00+09:00,2015-03-05 21:45:00+09:00,2015-03-05,21:45,【EU】 欧州中央銀行（ＥＣＢ）政策金利　 * ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,high,EU,2025-12-22 01:23:11.313834+09:00
monex_economic,CSVConvert97f480da7e051b0064d4e860f4e03265,2015-03-05 22:30:00+09:00,2015-03-05 22:30:00+09:00,2015-03-05,22:30,【EU】 ドラギ欧州中央銀行（ＥＣＢ）総裁、定例記者会見　 * ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,EU,2025-12-22 01:23:11.315140+09:00
monex_economic,CSVConvert4a9d1f1dbc33755d70787d19cf8859d4,2015-03-06 19:00:00+09:00,2015-03-06 19:00:00+09:00,2015-03-06,19:00,【EU】 四半期域内総生産（ＧＤＰ、改定値）　前年同期比 10-12月期 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,EU,2025-12-22 01:23:11.305717+09:00
monex_economic,CSVConvertebc591e8ea7442b3ce561c349acf9813,2015-03-06 19:00:00+09:00,2015-03-06 19:00:00+09:00,2015-03-06,19:00,【EU】 四半期域内総生産（ＧＤＰ、改定値）　前期比 10-12月期 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,EU,2025-12-22 01:23:11.307917+09:00
monex_economic,CSVConvert8f2bfa67e0f9c179427ae08b8e120faa,2015-03-06 22:30:00+09:00,2015-03-06 22:30:00+09:00,2015-03-06,22:30,【米】 失業率　 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,high,US,2025-12-22 01:23:11.308910+09:00
monex_economic,CSVConvert189e16ff52ae03aabb221264d4fa3d82,2015-03-06 22:30:00+09:00,2015-03-06 22:30:00+09:00,2015-03-06,22:30,【米】 非農業部門雇用者数変化　前月比 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,high,US,2025-12-22 01:23:11.315179+09:00
monex_economic,CSVConvert367d29cd33ed1b2fbfb1d03042d503f8,2015-03-09 08:50:00+09:00,2015-03-09 08:50:00+09:00,2015-03-09,08:50,【日本】 四半期実質国内総生産（ＧＤＰ、改定値）　年率換算 10-12月期 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,JP,2025-12-22 01:23:11.308049+09:00
monex_economic,CSVConvert4470c9bdf873a0bbe5555174bec1b2b3,2015-03-09 08:50:00+09:00,2015-03-09 08:50:00+09:00,2015-03-09,08:50,【日本】 四半期実質国内総生産（ＧＤＰ、改定値）　前期比 10-12月期 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,low,JP,2025-12-22 01:23:11.311156+09:00
monex_economic,CSVConvert436c06e8e6cea411430aab4a2bae50c0,2015-03-12 21:30:00+09:00,2015-03-12 21:30:00+09:00,2015-03-12,21:30,【米】 小売売上高　前月比 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,medium,US,2025-12-22 01:23:11.307008+09:00
monex_economic,CSVConverta35f4a5b6b16b1401f015fee1aef0e37,2015-03-12 21:30:00+09:00,2015-03-12 21:30:00+09:00,2015-03-12,21:30,【米】 小売売上高（除自動車）　前月比 2月 ,http://www.monex.co.jp/Etc/00000000/guest/G903/invest/calendar.htm,,medium,US,2025-12-22 01:23:11.316927+09:00
