"date","profit_jpy","n_trades"
2021-02-22,59825,1
2021-03-02,431465,1
2021-09-21,-74794,1
2021-09-24,-62818,1
2021-11-25,-34035,1
2021-12-02,52740,4
2021-12-30,-248709,1
2022-02-14,-315545,1
2022-02-16,8125,2
2022-08-12,72126,13
2022-11-09,38710,1
2023-07-10,-12175,1
2023-08-17,-3820,1
2023-08-24,3760,1
2023-09-12,-20191,1
2023-09-25,-94803,1
2023-10-04,-7493,1
2023-12-07,31883,1
2023-12-08,213041,4
2023-12-19,-661660,11
2023-12-21,-271924,2
2024-01-04,1235389,11
2024-01-05,2087731,18
2024-01-09,264704,22
2024-01-12,-146187,11
2024-01-16,-231348,2
2024-01-26,21257,2
2024-02-01,1465750,17
2024-02-07,-132315,2
2024-02-08,38629,1
2024-02-09,897140,2
2024-02-13,9200,1
2024-02-14,38888,1
2024-02-16,1856932,18
2024-02-20,1387544,11
2024-02-21,920026,25
2024-02-26,1402298,17
2024-02-27,-130133,1
2024-02-28,-56927,3
2024-03-04,-203204,2
2024-03-05,67268,2
2024-03-07,2941,1
2024-03-11,972536,2
2024-03-13,837701,1
2024-03-14,-1488495,27
2024-03-22,386597,1
2024-03-26,187215,1
2024-03-27,-264532,1
2024-04-18,625693,3
2024-04-19,109834,2
2024-05-07,-42599,5
2024-05-14,-113783,1
2024-05-17,77129,2
2024-05-21,256104,2
2024-05-22,18352,1
2024-05-24,-130197,1
2024-05-27,76586,15
2024-05-29,-946241,2
2024-05-30,-118686,1
2024-06-26,106513,1
2024-07-02,45561,1
2024-07-03,387493,7
2024-07-05,377300,5
2024-07-09,3012,1
2024-07-11,293228,1
2024-07-12,-1285230,19
2024-07-16,8523,1
2024-07-17,86382,4
2024-07-18,-2207,2
2024-07-19,672350,4
2024-07-25,-561020,10
2024-08-06,-1389340,2
2024-08-07,-3478929,35
2024-08-08,-3284106,26
2024-08-19,-28760,3
2024-08-21,-70544,6
2024-08-22,132062,1
2024-08-23,591270,2
2024-08-27,128601,1
2024-09-02,-423801,8
2024-09-03,76608,1
2024-09-06,602500,18
2024-09-09,97303,2
2024-09-10,124560,11
2024-09-11,-83255,22
2024-09-12,350,1
2024-09-13,-10008,1
2024-09-17,-58386,5
2024-09-19,281966,10
2024-09-24,2676,1
2024-09-25,-68490,1
2024-10-02,605367,25
2024-10-03,173631,9
2024-10-09,-214040,1
2024-10-10,365256,3
2024-10-17,199362,1
2024-10-23,94000,3
2024-10-25,209582,2
2024-11-01,221167,1
2024-11-06,543258,11
2024-11-07,-28221,2
2024-11-11,753211,2
2024-11-12,94841,2
2024-11-13,-44434,2
2024-11-14,-321951,8
2024-11-15,502877,22
2024-11-18,571597,4
2024-11-19,-237442,6
2024-11-20,-67958,28
2024-11-21,120914,5
2024-11-22,-57663,39
2024-11-25,-145952,12
2024-11-27,41693,1
2024-11-28,352816,6
2024-12-02,-549951,5
2024-12-06,353328,1
2024-12-09,118193,1
2024-12-10,-64809,7
2024-12-12,76961,3
2024-12-13,-348831,10
2024-12-17,-121339,3
2024-12-20,1156914,6
2024-12-23,-1432640,24
2025-01-07,12447,1
2025-01-09,55910,1
2025-01-24,34607,2
2025-01-28,-88532,1
2025-02-04,163490,1
2025-02-06,17865,7
2025-02-07,22884,1
2025-02-10,34357,1
2025-02-12,104072,1
2025-02-19,37138,4
2025-02-21,-69939,1
2025-02-26,-356230,1
2025-03-03,56371,1
2025-03-05,-593446,2
2025-03-06,-1739809,8
2025-03-07,-905844,6
2025-03-13,-11313,1
2025-03-14,-122,2
2025-03-18,23803,2
2025-03-19,-510719,3
2025-03-24,119996,2
2025-03-26,278122,8
2025-05-02,-38457,4
2025-05-07,119887,5
2025-05-08,61988,1
2025-05-09,-43675,5
2025-05-13,164567,27
2025-05-14,643493,9
2025-05-15,444115,6
2025-05-16,203333,18
2025-05-19,172023,8
2025-05-21,47089,3
2025-05-22,36758,4
2025-06-02,298699,1
2025-06-05,183017,2
2025-06-06,194685,4
2025-06-09,15468,3
2025-06-10,223703,18
2025-06-12,42095,13
2025-06-13,256518,4
2025-06-16,26571,2
2025-06-17,6588,2
2025-06-20,136370,5
2025-06-26,153898,7
2025-06-27,285933,9
2025-07-01,49909,2
2025-07-02,20692,1
2025-07-14,168337,1
2025-07-23,422450,2
2025-07-24,-127798,4
2025-08-01,863809,3
2025-08-04,103272,2
2025-08-05,1264173,1
2025-08-07,-750867,27
2025-08-13,-10084,1
2025-08-14,660389,7
2025-08-15,112283,6
2025-08-18,419471,3
2025-08-19,52938,1
2025-08-21,202296,2
2025-08-27,-29226,18
2025-08-28,181726,3
2025-08-29,183198,2
2025-09-05,33696,2
2025-09-09,-38753,5
2025-09-10,16966,25
2025-09-12,296773,7
2025-09-16,264562,24
2025-09-17,294782,11
2025-09-18,461374,23
2025-09-19,296260,1
2025-09-22,70278,1
2025-09-24,765139,15
2025-09-25,91539,9
2025-09-26,91212,6
2025-10-01,233817,1
2025-10-02,359848,1
2025-10-03,112806,2
2025-10-06,68402,1
2025-10-07,269825,2
2025-10-08,1408447,6
2025-10-09,-265320,25
2025-10-10,164067,35
2025-10-14,634351,8
2025-10-16,-8925,1
2025-10-17,109390,4
2025-10-20,269105,2
2025-10-27,155033,1
2025-10-29,347052,2
2025-10-30,345159,24
2025-10-31,852797,7
2025-11-04,219675,2
2025-11-05,15094,2
2025-11-06,552820,2
2025-11-10,184435,61
2025-11-11,694883,9
2025-11-13,839140,6
2025-11-14,85829,1
2025-11-17,188800,4
2025-12-05,257741,1
2025-12-09,493482,1
2025-12-10,346364,1
2025-12-30,14903,1
2026-01-07,35091,1
2026-01-08,640574,18
2026-01-14,13765,3
2026-01-15,143360,1
2026-01-16,5686,1
