date,raw_count,symbol,share,z_score,close,volume,return_20d,bottom_candidate
2025-12-24,100,SOFI,1.0,0.0,27.479999542236328,14424700.0,,False
2025-12-25,336,SOFI,1.0,0.0,27.479999542236328,14424700.0,,False
2025-12-26,0,SOFI,0.0,0.0,27.06999969482422,24735600.0,,False
2025-12-27,0,SOFI,0.0,0.0,27.06999969482422,24735600.0,,False
2025-12-28,45,SOFI,1.0,-0.365,27.06999969482422,24735600.0,,False
2025-12-29,0,SOFI,0.0,-0.61,26.81999969482422,26021100.0,,False
2025-12-30,33,SOFI,1.0,-0.333,26.559999465942383,28429400.0,,False
2025-12-31,14,SOFI,0.6364,-0.455,26.18000030517578,34070300.0,,False
2026-01-01,648,SOFI,1.0,2.336,26.18000030517578,34070300.0,,False
2026-01-02,0,SOFI,0.0,-0.552,27.459999084472656,55065600.0,,False
2026-01-03,0,SOFI,0.0,-0.521,27.459999084472656,55065600.0,,False
2026-01-04,0,SOFI,0.0,-0.495,27.459999084472656,55065600.0,,False
2026-01-05,25,SOFI,1.0,-0.354,29.280000686645508,73826300.0,,False
2026-01-06,564,SOFI,1.0,1.97,26.979999542236328,120271300.0,,False
2026-01-07,658,SOFI,1.0,1.951,27.0,43444900.0,,False
2026-01-08,206,SOFI,0.9717,0.169,27.719999313354492,50496100.0,,False
2026-01-09,84,SOFI,0.433,-0.316,27.399999618530273,43777000.0,,False
2026-01-10,104,SOFI,0.8814,-0.226,27.399999618530273,43777000.0,,False
2026-01-11,23,SOFI,1.0,-0.555,27.399999618530273,43777000.0,,False
2026-01-12,182,SOFI,1.0,0.139,26.600000381469727,49134000.0,,False
2026-01-13,329,SOFI,0.997,0.74,27.139999389648438,45562900.0,-0.0124,False
2026-01-14,60,SOFI,1.0,-0.399,26.670000076293945,40864200.0,-0.0295,False
2026-01-15,132,SOFI,1.0,-0.106,26.440000534057617,47958300.0,-0.0233,False
2026-01-16,132,SOFI,0.9429,-0.138,26.1299991607666,40832300.0,-0.0347,False
2026-01-17,59,SOFI,1.0,-0.479,26.1299991607666,40832300.0,-0.0347,False
2026-01-18,0,SOFI,0.0,-0.752,26.1299991607666,40832300.0,-0.0257,False
2026-01-19,452,SOFI,1.0,1.203,26.1299991607666,40832300.0,-0.0162,False
2026-01-20,76,SOFI,0.9383,-0.501,25.489999771118164,37001100.0,-0.0264,False
2026-01-21,97,SOFI,0.9798,-0.322,25.639999389648438,50248300.0,-0.0206,False
2026-01-22,50,SOFI,1.0,-0.584,26.09000015258789,35356300.0,-0.0499,False
2026-01-23,1935,SOFI,1.0,3.838,25.850000381469727,34264200.0,-0.0586,False
2026-01-24,100,SOFI,0.9091,-0.376,25.850000381469727,34264200.0,-0.0586,False
2026-01-25,0,SOFI,0.0,-0.603,25.850000381469727,34264200.0,-0.1171,False
2026-01-26,67,SOFI,0.6262,-0.395,25.799999237060547,36320300.0,-0.0437,False
2026-01-27,118,SOFI,0.6782,-0.22,25.459999084472656,38768100.0,-0.057,False
2026-01-28,218,SOFI,1.0,0.017,24.600000381469727,48776100.0,-0.1126,False
2026-01-29,344,SOFI,0.9198,0.286,24.360000610351562,67935300.0,-0.1109,False
2026-01-30,1122,SOFI,0.9868,1.825,22.809999465942383,131667900.0,-0.1675,False
2026-01-31,106,SOFI,0.955,-0.374,22.809999465942383,131667900.0,-0.1675,False
2026-02-01,61,SOFI,1.0,-0.456,22.809999465942383,131667900.0,-0.1425,False
2026-02-02,230,SOFI,1.0,-0.082,22.079999923706055,64063800.0,-0.1864,False
2026-02-03,637,SOFI,0.9666,0.726,21.760000228881836,92380200.0,-0.1841,False
2026-02-04,351,SOFI,0.9669,0.093,20.75,85930900.0,-0.2152,False
2026-02-05,487,SOFI,0.9365,0.346,19.459999084472656,87454700.0,-0.2553,False
2026-02-06,278,SOFI,0.9521,-0.126,20.860000610351562,67020900.0,-0.2017,False
2026-02-07,73,SOFI,1.0,-0.58,20.860000610351562,67020900.0,-0.2017,False
2026-02-08,52,SOFI,0.6341,-0.578,20.860000610351562,67020900.0,-0.2017,False
2026-02-09,207,SOFI,1.0,-0.26,21.350000381469727,64079400.0,-0.1624,False
2026-02-10,66,SOFI,0.9565,-0.561,21.18000030517578,55796600.0,-0.1739,False
2026-02-11,466,SOFI,0.9936,0.262,20.549999237060547,52565000.0,-0.2123,False
2026-02-12,562,SOFI,0.9723,1.043,19.299999237060547,63515100.0,-0.2534,False
2026-02-13,292,SOFI,0.9898,0.019,19.610000610351562,43139300.0,-0.2414,False
2026-02-14,149,SOFI,0.8613,-0.552,19.610000610351562,43139300.0,-0.2414,False
2026-02-15,58,SOFI,1.0,-0.894,19.610000610351562,43139300.0,-0.2399,False
2026-02-16,125,SOFI,0.9615,-0.642,19.610000610351562,43139300.0,-0.2298,False
2026-02-17,108,SOFI,1.0,-0.678,19.510000228881836,49681800.0,-0.2069,False
2026-02-18,152,SOFI,1.0,-0.475,19.540000915527344,59588800.0,-0.1979,False
2026-02-19,240,SOFI,1.0,0.028,19.299999237060547,53391100.0,-0.1539,False
2026-02-20,333,SOFI,1.0,0.486,19.020000457763672,68347500.0,-0.1662,False
2026-02-21,69,SOFI,1.0,-0.999,19.020000457763672,68347500.0,-0.1662,False
2025-12-24,0,IONQ,0.0,0.0,49.81999969482422,10354100.0,,False
2025-12-25,0,IONQ,0.0,0.0,49.81999969482422,10354100.0,,False
2025-12-26,0,IONQ,0.0,0.0,46.0,19679600.0,,False
2025-12-27,0,IONQ,0.0,0.0,46.0,19679600.0,,False
2025-12-28,0,IONQ,0.0,0.0,46.0,19679600.0,,False
2025-12-29,0,IONQ,0.0,0.0,45.25,17259800.0,,False
2025-12-30,0,IONQ,0.0,0.0,45.310001373291016,13552200.0,,False
2025-12-31,8,IONQ,0.3636,2.475,44.869998931884766,11437000.0,,False
2026-01-01,0,IONQ,0.0,-0.333,44.869998931884766,11437000.0,,False
2026-01-02,0,IONQ,0.0,-0.316,46.77000045776367,17122100.0,,False
2026-01-03,0,IONQ,0.0,-0.302,46.77000045776367,17122100.0,,False
2026-01-04,334,IONQ,1.0,3.175,46.77000045776367,17122100.0,,False
2026-01-05,0,IONQ,0.0,-0.284,48.709999084472656,20311300.0,,False
2026-01-06,0,IONQ,0.0,-0.274,50.7599983215332,16937500.0,,False
2026-01-07,0,IONQ,0.0,-0.265,49.779998779296875,14297200.0,,False
2026-01-08,6,IONQ,0.0283,-0.189,50.45000076293945,16618400.0,,False
2026-01-09,110,IONQ,0.567,0.995,49.45000076293945,13686000.0,,False
2026-01-10,14,IONQ,0.1186,-0.151,49.45000076293945,13686000.0,,False
2026-01-11,0,IONQ,0.0,-0.315,49.45000076293945,13686000.0,,False
2026-01-12,0,IONQ,0.0,-0.306,50.95000076293945,16782300.0,,False
2026-01-13,1,IONQ,0.003,-0.294,48.939998626708984,14487700.0,-0.0177,False
2026-01-14,0,IONQ,0.0,-0.307,50.880001068115234,16602100.0,0.0213,False
2026-01-15,0,IONQ,0.0,-0.307,47.560001373291016,21022800.0,0.0339,False
2026-01-16,8,IONQ,0.0571,-0.209,50.79999923706055,23266200.0,0.1043,False
2026-01-17,0,IONQ,0.0,-0.313,50.79999923706055,23266200.0,0.1043,False
2026-01-18,0,IONQ,0.0,-0.313,50.79999923706055,23266200.0,0.1227,False
2026-01-19,0,IONQ,0.0,-0.313,50.79999923706055,23266200.0,0.1212,False
2026-01-20,5,IONQ,0.0617,-0.246,50.65999984741211,24568200.0,0.129,False
2026-01-21,2,IONQ,0.0202,-0.286,48.33000183105469,31821400.0,0.0771,False
2026-01-22,0,IONQ,0.0,-0.312,49.33000183105469,17661900.0,0.0547,False
2026-01-23,0,IONQ,0.0,-0.312,47.25,14734200.0,0.0103,False
2026-01-24,10,IONQ,0.0909,0.09,47.25,14734200.0,0.0103,False
2026-01-25,0,IONQ,0.0,-0.32,47.25,14734200.0,-0.03,False
2026-01-26,40,IONQ,0.3738,1.192,43.369998931884766,39551400.0,-0.1456,False
2026-01-27,56,IONQ,0.3218,1.594,45.4900016784668,25181300.0,-0.0862,False
2026-01-28,0,IONQ,0.0,-0.45,45.79999923706055,18945000.0,-0.0922,False
2026-01-29,30,IONQ,0.0802,1.387,43.2400016784668,22225500.0,-0.1256,False
2026-01-30,15,IONQ,0.0132,0.425,39.97999954223633,23741900.0,-0.1915,False
2026-01-31,5,IONQ,0.045,-0.231,39.97999954223633,23741900.0,-0.1915,False
2026-02-01,0,IONQ,0.0,-0.553,39.97999954223633,23741900.0,-0.2153,False
2026-02-02,0,IONQ,0.0,-0.548,38.560001373291016,21598100.0,-0.2121,False
2026-02-03,22,IONQ,0.0334,0.785,38.470001220703125,19966100.0,-0.2439,False
2026-02-04,12,IONQ,0.0331,0.112,35.34000015258789,32378000.0,-0.2569,False
2026-02-05,33,IONQ,0.0635,1.314,30.43000030517578,33123400.0,-0.401,False
